ANY,MES,DIA,MORTS,FERITS,HORA,COORDENADES,CARRER,AVIO,UNITAT,QUI
1937,10,1,55,87,16:00,"41.37944, 2.1885","Sant Miquel, 45?",9 Savoia S.79,Aviació Legionària Italiana,Aina
1937,10,1,,,16:00,"41.37908, 2.18865","Sant Miquel, 43?",9 Savoia S.79,Aviació Legionària Italiana,Aina
1937,10,1,,,16:00,"41.37971, 2.18833",Plaça de la Barceloneta,9 Savoia S.79,Aviació Legionària Italiana,Aina
1937,10,1,,,16:00,"41.37989, 2.18841",Parroquia de Sant Miquel del Port,9 Savoia S.79,Aviació Legionària Italiana,Aina
1937,10,1,,,16:00,"41.37979, 2.18867",Parroquia de Sant Miquel del Port,9 Savoia S.79,Aviació Legionària Italiana,Aina
1937,10,1,,,16:00,"41.37997, 2.18876",Parroquia de Sant Miquel del Port,9 Savoia S.79,Aviació Legionària Italiana,Aina
1937,10,1,,,16:00,"41.37852, 2.18884","Sant Miquel, 67?",9 Savoia S.79,Aviació Legionària Italiana,Aina
1937,10,1,,,16:00,"41.3781, 2.18905","Sant Miquel, 79?",9 Savoia S.79,Aviació Legionària Italiana,Aina
1937,10,1,,,16:00,"41.37795, 2.18908","Sant Miquel, 85?",9 Savoia S.79,Aviació Legionària Italiana,Aina
1937,10,1,,,16:00,"41.382544, 2.189517","Balboa, 33",9 Savoia S.79,Aviació Legionària Italiana,Aina
1937,10,1,,,16:00,"41.382615, 2.190069","Balboa, 37",9 Savoia S.79,Aviació Legionària Italiana,Aina
1937,10,1,,,16:00,"41.382554, 2.190083","Balboa, 32",9 Savoia S.79,Aviació Legionària Italiana,Aina